Season,PlayerID,Age,YearsExperience,League,Team,Position,Games,PointsPerGame,AssistsPerGame,BlocksPerGame,ReboundsPerGame,EffectiveFieldGoalPercent
1978,1459,27,6,NBA,DET,PG,8,4.6,4.5,0.0,1.9,0.452
1980,1459,29,8,NBA,WSB,PG,70,7.3,6.5,0.2,1.2,0.459
1974,1459,23,2,NBA,CAP,PG,81,14.0,5.8,0.1,2.2,0.478
1978,1459,27,6,NBA,TOT,PG,82,15.0,10.2,0.2,2.6,0.469
1978,1459,27,6,NBA,NJN,PG,74,16.2,10.8,0.2,2.7,0.47
1976,1459,25,4,NBA,DET,PG,19,12.6,10.2,0.2,2.3,0.421
1979,1459,28,7,NBA,DET,PG,82,15.4,13.4,0.1,2.5,0.481
1975,1459,24,3,NBA,WSB,PG,81,11.6,8.0,0.1,1.9,0.491
1983,1459,32,10,NBA,WSB,PG,11,4.3,4.2,0.0,0.5,0.525
1974,1460,23,2,NBA,POR,C,50,4.9,0.4,0.5,3.6,0.435
1976,1460,25,4,NBA,POR,C,63,4.4,1.1,0.4,4.9,0.361
1975,1460,24,3,NBA,POR,C,81,7.0,0.9,0.6,5.0,0.452
1973,1460,22,1,NBA,POR,C,77,4.4,0.5,,4.6,0.396
1973,1461,22,1,NBA,POR,C,82,13.4,1.8,,11.8,0.494
1974,1461,23,2,NBA,POR,PF,80,7.6,1.1,0.9,6.2,0.49
1975,1461,24,3,NBA,POR,PF,82,12.3,1.7,1.1,8.4,0.471
1978,1461,27,6,NBA,POR,PF,61,11.0,1.3,0.3,6.1,0.504
1976,1461,25,4,NBA,POR,PF,68,15.5,1.7,1.6,8.6,0.481
1977,1461,26,5,NBA,POR,PF,58,6.8,1.0,0.6,4.4,0.471
1979,1461,28,7,NBA,POR,PF,4,2.3,0.3,0.3,2.3,0.364
1973,1462,22,1,NBA,BOS,SF,4,1.3,0.5,,1.0,0.25
1977,1463,26,5,NBA,KCK,SG,73,3.9,2.4,0.2,1.8,0.437
1974,1463,23,2,ABA,VIR,SG,45,4.4,1.8,0.1,1.6,0.485
1973,1463,22,1,ABA,VIR,SG,79,9.1,3.2,,2.9,0.473
1975,1463,24,3,ABA,SSL,SG,54,5.6,3.3,0.3,1.8,0.506
1976,1463,25,4,ABA,SSL,SG,56,5.4,3.1,0.1,1.9,0.529
1974,1464,24,2,ABA,TOT,PF,72,8.4,0.8,0.2,5.3,0.508
1975,1464,25,3,ABA,VIR,PF,82,12.2,1.0,0.2,5.6,0.528
1974,1464,24,2,ABA,MMT,PF,39,8.7,0.9,0.1,5.5,0.562
1974,1464,24,2,ABA,UTS,PF,33,8.1,0.7,0.3,5.1,0.451
1976,1464,26,4,ABA,VIR,PF,80,12.2,1.4,0.4,7.6,0.499
1973,1464,23,1,ABA,UTS,PF,30,3.3,0.1,,2.1,0.434
1974,1465,22,2,NBA,KCO,C,2,0.0,0.0,0.0,0.0,
1973,1465,21,1,NBA,KCO,C,58,4.2,0.7,,3.3,0.417
1974,1466,24,2,NBA,POR,SF,79,6.3,2.1,0.4,4.1,0.482
1979,1466,29,7,NBA,CHI,SF,71,9.2,2.3,0.5,3.2,0.52
1975,1466,25,3,NBA,NOJ,SF,43,7.9,1.9,0.5,4.1,0.465
1975,1466,25,3,NBA,KCO,SF,30,5.4,1.0,0.4,2.2,0.492
1976,1466,26,4,NBA,KCK,SF,81,10.1,1.8,0.5,4.4,0.513
1978,1466,28,6,NBA,ATL,SF,82,8.5,1.5,0.4,3.2,0.472
1980,1466,30,8,NBA,CHI,SF,79,7.7,2.0,0.3,2.1,0.498
1982,1466,32,10,NBA,PHI,SF,26,2.3,0.4,0.1,0.8,0.509
1973,1466,23,1,NBA,POR,SF,78,9.9,2.6,,5.3,0.497
1975,1466,25,3,NBA,TOT,SF,73,6.9,1.5,0.5,3.3,0.473
1977,1466,27,5,NBA,KCK,SF,81,6.6,1.3,0.3,2.6,0.489
1981,1466,31,9,NBA,PHI,SF,40,5.1,0.8,0.1,1.4,0.554
1977,1467,26,3,NBA,CHI,SG,9,5.2,1.6,0.0,1.8,0.383
1973,1467,22,1,NBA,HOU,SG,24,4.6,0.7,,2.1,0.494
1974,1467,23,2,NBA,HOU,SG,4,0.5,0.5,0.0,1.5,0.25
1974,1468,25,2,ABA,SDA,SF,13,7.7,0.9,0.5,4.5,0.493
1973,1468,24,1,NBA,PHO,SF,25,3.0,0.5,,2.4,0.342
1979,1469,28,7,NBA,PHO,SG,81,24.0,6.5,0.3,2.0,0.535
1983,1469,32,11,NBA,NYK,SG,80,10.0,5.5,0.2,1.4,0.469
1974,1469,23,2,NBA,BOS,SG,82,7.2,2.1,0.4,1.7,0.501
1976,1469,25,4,NBA,PHO,PG,82,20.5,5.4,0.5,3.2,0.494
1984,1469,33,12,NBA,PHO,SG,59,7.0,2.5,0.1,0.7,0.471
1975,1469,24,3,NBA,BOS,SG,82,9.8,2.9,0.4,2.0,0.51
1981,1469,30,9,NBA,SEA,SG,36,16.7,4.1,0.4,1.9,0.448
1977,1469,26,5,NBA,PHO,PG,81,21.3,5.7,0.3,2.3,0.518
1982,1469,31,10,NBA,NYK,SG,18,11.7,5.6,0.4,1.2,0.448
1978,1469,27,6,NBA,PHO,SG,80,25.2,5.5,0.4,2.1,0.516
1973,1469,22,1,NBA,BOS,SG,60,4.1,1.2,,1.1,0.42
1980,1469,29,8,NBA,PHO,SG,82,21.9,5.1,0.4,2.3,0.535
1973,1470,,1,ABA,SDA,PF,5,0.8,0.2,,1.6,0.167
1976,1471,25,3,NBA,DET,C,29,2.5,0.4,0.9,4.5,0.403
1974,1471,23,2,ABA,SAA,C,2,5.0,0.5,0.0,3.0,0.833
1974,1471,23,2,ABA,TOT,C,63,3.7,0.7,1.0,5.6,0.377
1974,1471,23,2,ABA,VIR,C,61,3.6,0.7,1.0,5.7,0.366
1973,1471,22,1,NBA,LAL,C,1,1.0,0.0,,0.0,
1980,1471,29,5,NBA,CHI,C,4,0.5,0.3,0.8,2.5,0.333
1973,1471,22,1,ABA,CAR,C,62,2.4,0.4,,2.9,0.457
1976,1471,25,3,ABA,DNA,C,37,2.0,0.6,0.6,2.0,0.475
1977,1471,26,4,NBA,DET,C,43,1.4,0.3,0.4,2.1,0.375
1974,1472,23,2,NBA,HOU,PF,36,3.4,0.8,0.6,3.4,0.393
1975,1472,24,3,NBA,HOU,PF,77,6.0,1.7,0.3,4.9,0.417
1974,1472,23,2,NBA,TOT,PF,48,3.9,0.8,0.5,3.7,0.401
1973,1472,22,1,NBA,KCO,PF,74,8.4,1.0,,6.9,0.431
1976,1472,25,4,NBA,HOU,PF,65,4.1,1.2,0.3,4.7,0.411
1974,1472,23,2,NBA,KCO,PF,12,5.2,0.7,0.2,4.7,0.421
1974,1473,23,2,ABA,KEN,PF,71,4.1,0.9,0.1,4.1,0.471
1975,1473,24,3,ABA,KEN,PF,79,3.6,0.6,0.2,3.8,0.451
1976,1473,25,4,ABA,KEN,PF,83,3.9,0.8,0.2,4.5,0.486
1973,1473,22,1,ABA,KEN,PF,31,4.7,0.7,0.1,3.7,0.47
1976,1474,25,4,NBA,TOT,SF,55,4.9,0.3,0.1,2.1,0.419
1977,1474,26,5,NBA,CLE,SF,29,3.4,0.2,0.1,1.4,0.43
1974,1474,23,2,NBA,CHI,SF,41,3.8,0.3,0.2,1.7,0.37
1976,1474,25,4,NBA,CHI,SF,14,10.9,0.5,0.3,5.4,0.435
1976,1474,25,4,NBA,CLE,SF,41,2.9,0.2,0.1,1.0,0.402
1977,1474,26,5,NBA,MIL,SF,33,4.7,0.6,0.2,2.2,0.452
1973,1474,22,1,NBA,CHI,SF,35,3.6,0.2,,1.7,0.441
1975,1474,24,3,NBA,CHI,SF,70,7.6,0.6,0.2,3.5,0.481
1977,1474,26,5,NBA,TOT,SF,62,4.1,0.4,0.2,1.8,0.444
1974,1475,24,2,NBA,MIL,SF,36,2.4,0.6,0.0,1.1,0.404
1975,1475,25,3,NBA,NOJ,SF,15,4.3,0.5,0.2,2.1,0.382
1973,1475,23,1,NBA,MIL,SF,46,2.8,0.8,,0.9,0.386
1973,1476,22,1,ABA,MMT,PF,7,2.9,0.0,0.4,2.7,0.222
1973,1477,23,1,NBA,KCO,PF,5,2.4,0.0,,0.8,0.308
1975,1478,24,3,ABA,SDA,SF,71,6.9,1.2,0.3,5.1,0.426
1974,1478,23,2,ABA,VIR,SF,5,2.0,0.8,0.0,3.2,0.2
1973,1478,22,1,NBA,PHO,SF,29,3.2,0.5,,1.5,0.387
1973,1479,22,1,ABA,CAR,PG,30,1.8,0.8,,0.5,0.392
1974,1480,23,2,NBA,ATL,PG,75,7.3,3.1,0.1,1.9,0.463
1975,1480,24,3,NBA,GSW,SG,42,3.2,1.2,0.0,0.9,0.415
1973,1480,22,1,NBA,ATL,PG,70,6.5,1.8,,1.5,0.486
1973,1481,24,1,NBA,BAL,PF,23,2.4,0.1,,1.0,0.429
1974,1481,25,2,NBA,CAP,SF,2,0.5,1.0,0.0,1.0,0.0
1975,1482,24,3,NBA,NYK,C,51,3.0,0.4,0.1,2.1,0.361
1973,1482,22,1,NBA,NYK,C,14,2.5,0.1,,1.1,0.417
1974,1482,23,2,NBA,NYK,C,17,2.2,0.2,0.0,0.9,0.448
1974,1483,24,2,ABA,SDA,SF,56,15.3,1.1,0.2,5.3,0.525
1976,1483,26,4,ABA,TOT,SF,56,8.0,0.8,0.3,2.5,0.497
1976,1483,26,4,ABA,INA,SF,34,9.6,0.9,0.4,3.0,0.531
1976,1483,26,4,ABA,KEN,SF,22,5.5,0.5,0.2,1.8,0.423
1975,1483,25,3,ABA,SDA,SF,53,25.2,1.8,0.4,6.2,0.545
1973,1483,23,1,NBA,LAL,SF,33,3.8,0.2,,1.6,0.44
1974,1483,24,2,NBA,LAL,SF,3,1.0,0.0,0.0,0.3,0.25
1976,1484,26,3,ABA,SAA,PF,10,3.3,0.5,0.3,2.9,0.545
1973,1484,23,1,ABA,VIR,PF,73,7.5,0.7,,4.0,0.418
1975,1484,25,2,ABA,SAA,PF,24,3.3,0.4,0.1,3.4,0.376
1978,1485,26,5,NBA,SAS,SF,82,8.1,2.4,0.0,3.1,0.478
1980,1485,28,7,NBA,UTA,SF,82,11.6,4.2,0.1,6.2,0.482
1975,1485,23,2,NBA,PHI,SF,72,6.2,1.4,0.0,3.5,0.415
1983,1485,31,10,NBA,DAL,SF,37,2.8,1.9,0.0,1.6,0.475
1974,1485,22,1,NBA,PHI,SF,55,4.7,1.7,0.0,3.0,0.4
1979,1485,27,6,NBA,SAS,SF,74,6.4,3.1,0.2,3.3,0.492
1982,1485,30,9,NBA,DAL,SF,82,7.0,5.5,0.1,4.1,0.44
1977,1485,25,4,NBA,SAS,SF,82,11.4,2.9,0.0,4.2,0.489
1981,1485,29,8,NBA,UTA,SF,82,8.7,4.7,0.0,5.2,0.448
1976,1485,24,3,ABA,SAA,SF,47,7.0,2.6,0.0,3.7,0.461
1974,1486,22,1,NBA,NYK,SG,2,2.0,0.5,0.0,1.0,0.5
1974,1487,22,1,ABA,VIR,SG,60,4.7,1.6,0.2,1.1,0.376
1976,1487,24,3,ABA,SSL,SG,35,2.3,1.8,0.2,0.7,0.375
1975,1487,23,2,ABA,VIR,SG,78,7.8,2.9,0.1,1.7,0.417
1974,1488,24,1,NBA,DET,SG,46,1.8,0.4,0.0,0.7,0.365
1975,1489,25,2,ABA,SSL,SG,9,7.8,2.9,0.0,2.4,0.353
1975,1489,25,2,NBA,NOJ,SG,31,4.1,1.7,0.0,1.5,0.443
1974,1489,24,1,NBA,POR,SG,80,7.0,3.5,0.1,2.0,0.46
1974,1490,23,1,ABA,KEN,PG,1,2.0,1.0,0.0,0.0,0.333
1976,1491,24,3,ABA,VIR,SF,31,6.6,0.9,0.2,2.9,0.459
1975,1491,23,2,ABA,NYA,SF,27,5.1,0.7,0.1,1.4,0.473
1976,1491,24,3,ABA,NYA,SF,20,3.6,0.5,0.1,1.1,0.416
1976,1491,24,3,ABA,TOT,SF,51,5.5,0.7,0.2,2.2,0.446
1974,1491,22,1,ABA,NYA,SF,59,6.5,0.6,0.2,2.4,0.5
1977,1492,24,4,NBA,BUF,SG,75,7.9,1.8,0.1,1.0,0.378
1974,1492,21,1,ABA,SAA,SG,74,11.5,1.8,0.1,1.6,0.381
1978,1492,25,5,NBA,BUF,SG,34,9.5,3.8,0.2,1.5,0.436
1978,1492,25,5,NBA,TOT,SG,55,9.0,3.6,0.2,1.5,0.409
1975,1492,22,2,ABA,KEN,SG,84,13.1,3.8,0.2,2.2,0.42
1978,1492,25,5,NBA,NJN,SG,21,8.3,3.2,0.0,1.6,0.367
1976,1492,23,3,ABA,KEN,SG,78,17.9,3.8,0.3,2.7,0.444
1974,1493,22,1,ABA,SDA,SG,84,20.4,3.4,0.2,3.5,0.417
1976,1493,24,3,ABA,SDS,PG,6,18.3,6.0,0.2,3.0,0.438
1976,1493,24,3,ABA,INA,SG,35,15.6,3.9,0.0,2.8,0.432
1975,1493,23,2,ABA,SDA,PG,77,20.9,5.5,0.2,3.1,0.433
1977,1493,25,4,NBA,LAL,PG,71,7.1,2.5,0.0,1.3,0.406
1976,1493,24,3,ABA,TOT,SG-PG,41,16.0,4.2,0.0,2.8,0.433
1975,1494,21,2,ABA,UTS,SF,35,4.0,0.4,0.5,2.8,0.423
1976,1494,22,3,NBA,SEA,SF,81,11.8,1.5,0.5,6.3,0.436
1978,1494,24,5,NBA,SEA,SF,73,7.8,1.1,0.5,3.1,0.417
1977,1494,23,4,NBA,SEA,PF,81,11.0,1.1,0.7,4.4,0.444
1974,1494,20,1,ABA,UTS,SF,78,7.0,0.7,0.7,3.6,0.394
1979,1495,28,6,NBA,PHI,C,78,9.3,1.9,2.0,9.6,0.474
1976,1495,25,3,ABA,KEN,C,15,12.4,0.9,1.1,10.5,0.468
1982,1495,31,9,NBA,PHI,C,81,7.9,1.2,1.8,8.7,0.497
1981,1495,30,8,NBA,PHI,C,81,7.2,1.5,1.7,10.0,0.449
1976,1495,25,3,ABA,TOT,C,76,13.0,1.9,2.9,11.2,0.47
1978,1495,27,5,NBA,PHI,C,80,5.4,1.2,1.6,7.1,0.471
1974,1495,23,1,ABA,SDA,C,79,15.0,1.8,4.0,13.9,0.466
1990,1495,39,17,NBA,SAS,PF,72,2.4,0.3,0.4,3.2,0.469
1989,1495,38,16,NBA,POR,PF,72,2.8,0.8,1.2,4.2,0.421
1980,1495,29,7,NBA,PHI,C,80,7.4,2.1,2.0,11.9,0.436
1988,1495,37,15,NBA,POR,C,79,4.2,1.0,1.3,5.2,0.487
1987,1495,36,14,NBA,POR,PF,78,4.1,0.8,1.0,5.8,0.496
1984,1495,33,11,NBA,HOU,C,81,9.9,1.9,1.0,7.2,0.503
1986,1495,35,13,NBA,POR,C,80,4.7,0.9,0.8,4.4,0.496
1976,1495,25,3,ABA,SDS,C,10,15.9,2.2,3.7,13.6,0.431
1975,1495,24,2,ABA,SDA,C,76,19.5,2.1,3.2,14.1,0.49
1976,1495,25,3,ABA,SSL,C,51,12.6,2.2,3.2,11.0,0.482
1977,1495,26,4,NBA,PHI,C,82,6.0,1.1,2.4,8.1,0.507
1985,1495,34,12,NBA,CHI,C,42,3.4,0.8,0.7,5.0,0.461
1983,1495,32,10,NBA,HOU,C,82,9.5,1.7,1.6,8.1,0.453
1974,1496,23,1,ABA,MMT,SF,78,9.6,0.9,0.9,8.2,0.5
1975,1496,24,2,ABA,INA,SF,77,5.9,0.5,0.5,4.4,0.505
1975,1497,23,2,NBA,NYK,SF,52,3.0,0.5,0.2,2.0,0.376
1974,1497,22,1,NBA,NYK,SF,1,0.0,0.0,0.0,0.0,0.0
1976,1497,24,3,NBA,NYK,SF,10,1.9,0.3,0.1,1.4,0.381
1975,1498,23,2,NBA,GSW,PF,80,7.7,1.6,0.2,6.9,0.482
1978,1498,26,5,NBA,CHI,PF,25,2.7,0.4,0.1,1.9,0.397
1977,1498,25,4,NBA,GSW,PF,49,7.4,1.3,0.2,4.9,0.458
1978,1498,26,5,NBA,GSW,PF,22,6.2,0.5,0.1,2.2,0.462
1976,1498,24,3,NBA,GSW,PF,79,6.4,1.1,0.1,4.4,0.465
1974,1498,22,1,NBA,GSW,PF,66,4.3,0.8,0.2,5.1,0.494
1978,1498,26,5,NBA,TOT,PF,47,4.3,0.4,0.1,2.1,0.439
1974,1499,22,1,NBA,PHI,SG,25,8.0,1.6,0.1,1.8,0.371
1976,1499,24,3,NBA,PHI,SG,77,20.8,2.5,0.3,4.0,0.513
1977,1499,25,4,NBA,PHI,SG,58,18.3,4.7,0.3,3.4,0.518
1975,1499,23,2,NBA,PHI,SG,81,17.9,2.6,0.2,3.9,0.488
1979,1499,27,6,NBA,PHI,SG,47,19.5,4.1,0.4,2.6,0.499
1980,1499,28,7,NBA,PHI,SG,36,13.8,2.8,0.2,2.6,0.466
1981,1499,29,8,NBA,PHI,SG,12,12.3,3.5,0.3,2.4,0.492
1978,1499,26,5,NBA,PHI,SG,79,19.7,4.1,0.3,2.9,0.526
1974,1500,21,1,NBA,ATL,PF,74,8.0,1.2,0.9,6.1,0.474
1975,1500,22,2,NBA,ATL,C,75,10.4,2.0,0.7,9.3,0.43
1980,1500,27,7,NBA,HOU,PF,21,6.0,0.5,0.2,3.4,0.42
1980,1500,27,7,NBA,CHI,PF,53,10.1,1.7,0.7,5.6,0.535
1979,1500,26,6,NBA,HOU,C,81,5.7,0.7,0.3,4.0,0.458
1980,1500,27,7,NBA,TOT,PF,74,8.9,1.4,0.6,5.0,0.508
1981,1500,28,8,NBA,CHI,PF,81,7.6,1.2,0.4,5.0,0.483
1982,1500,29,9,NBA,CHI,PF,78,10.0,1.5,0.5,6.5,0.531
1983,1500,30,10,NBA,CHI,PF,49,4.5,0.8,0.3,4.0,0.446
1976,1500,23,3,NBA,ATL,C,66,10.1,1.3,0.9,7.9,0.463
1977,1500,24,4,NBA,HOU,PF,74,5.9,0.6,0.3,3.8,0.494
1983,1500,30,10,NBA,LAL,PF,32,4.9,0.7,0.3,3.6,0.47
1978,1500,25,5,NBA,HOU,PF,82,10.6,1.3,0.5,7.8,0.445
1983,1500,30,10,NBA,TOT,PF,81,4.6,0.8,0.3,3.8,0.455
1979,1501,28,6,NBA,HOU,PF,6,1.8,0.2,0.0,1.2,0.714
1975,1501,24,2,NBA,NOJ,PF,77,8.1,1.4,0.5,7.1,0.445
1977,1501,26,4,NBA,NOJ,PF,77,8.6,1.3,0.4,7.1,0.462
1976,1501,25,3,NBA,NOJ,PF,67,7.3,1.3,0.4,6.3,0.451
1978,1501,27,5,NBA,GSW,PF,72,6.4,1.4,0.3,5.2,0.475
1974,1501,23,1,NBA,HOU,PF,58,5.2,1.3,0.3,4.3,0.512
1975,1502,24,2,NBA,HOU,SF,80,11.8,3.2,0.6,5.7,0.461
1974,1502,23,1,NBA,HOU,SF,81,7.5,2.2,0.3,3.5,0.434
1977,1502,26,4,NBA,HOU,SF,37,4.5,1.2,0.2,2.1,0.435
1978,1502,27,5,NBA,HOU,SF,68,4.4,2.3,0.3,2.4,0.419
1976,1502,25,3,NBA,HOU,SF,72,11.1,3.6,0.5,5.3,0.485
1978,1503,27,5,NBA,LAL,PG,25,3.9,2.8,0.0,0.9,0.41
1974,1503,23,1,NBA,BUF,PG,81,15.2,8.2,0.1,2.7,0.421
1978,1503,27,5,NBA,TOT,PG,52,3.9,2.6,0.0,1.0,0.421
1978,1503,27,5,NBA,BOS,PG,27,3.9,2.4,0.0,1.0,0.431
1975,1503,24,2,NBA,BUF,PG,31,7.8,4.9,0.0,1.5,0.44
1977,1503,26,4,NBA,BUF,PG,81,10.7,4.7,0.0,2.3,0.417
1976,1503,25,3,NBA,BUF,PG,67,6.7,4.0,0.0,1.7,0.384
1975,1504,24,2,NBA,PHO,SG,68,8.5,2.3,0.2,2.8,0.43
1974,1504,23,1,NBA,PHO,PG,69,7.2,2.1,0.1,2.1,0.46
1975,1505,23,2,ABA,SAA,PG,82,8.1,4.1,0.1,1.9,0.493
1974,1505,22,1,ABA,SAA,PG,74,7.8,2.2,0.1,1.7,0.478
1976,1505,24,3,ABA,SAA,PG,75,5.1,3.3,0.0,0.9,0.449
1977,1505,25,4,NBA,SAS,PG,29,2.7,1.6,0.0,0.6,0.342
1978,1505,26,5,NBA,SAS,PG,4,1.5,1.3,0.0,1.3,0.333
1974,1506,23,1,ABA,SDA,SG,11,2.5,0.4,0.0,0.5,0.283
1974,1507,21,1,ABA,KEN,SF,35,8.3,1.4,0.8,6.1,0.421
1976,1507,23,3,ABA,DNA,PF,7,4.6,1.6,0.7,4.3,0.395
1975,1507,22,2,ABA,KEN,PF,56,6.5,1.2,0.5,5.1,0.44
1974,1508,22,1,NBA,CLE,PF,82,6.1,1.8,0.4,6.4,0.383
1982,1508,30,9,NBA,LAL,PF,71,2.4,0.6,0.6,3.7,0.466
1978,1508,26,5,NBA,CLE,PF,80,5.0,1.2,0.6,6.2,0.449
1977,1508,25,4,NBA,CLE,PF,81,8.5,2.4,1.0,9.4,0.451
1976,1508,24,3,NBA,CLE,PF,82,11.5,2.5,1.1,10.9,0.458
1981,1508,29,8,NBA,LAL,PF,78,2.8,0.7,0.7,3.6,0.513
1975,1508,23,2,NBA,CLE,PF,82,8.4,1.6,0.5,6.2,0.455
1980,1508,28,7,NBA,POR,PF,67,2.9,1.1,0.6,3.8,0.489
1979,1508,27,6,NBA,TOT,PF,80,3.9,1.1,0.8,5.9,0.442
1979,1508,27,6,NBA,CLE,PF,55,4.6,1.3,1.0,6.7,0.44
1979,1508,27,6,NBA,DET,PF,25,2.3,0.5,0.4,4.2,0.45
1974,1509,23,1,NBA,BUF,PF,6,0.3,0.0,0.0,0.8,0.25
1974,1510,22,1,ABA,NYA,SF,11,3.5,0.5,0.3,1.5,0.405
1975,1510,23,2,ABA,MMS,SF,47,4.9,1.7,0.5,2.6,0.448
1975,1511,24,2,NBA,PHO,SF,41,3.0,1.2,0.0,1.0,0.386
1974,1511,23,1,NBA,PHO,SF,17,3.1,0.9,0.0,0.5,0.538
1974,1512,23,1,ABA,MMT,SF,12,5.3,0.5,0.6,3.8,0.429
1974,1512,23,1,NBA,PHO,SF,7,2.3,0.1,0.3,1.1,0.545
1974,1513,22,1,NBA,ATL,SF,77,9.3,1.5,0.2,5.7,0.438
1979,1513,27,6,NBA,CHI,SF,77,5.0,1.4,0.1,3.1,0.479
1977,1513,25,4,NBA,ATL,SF,77,5.7,1.3,0.1,3.1,0.457
1975,1513,23,2,NBA,ATL,SF,73,11.2,1.8,0.2,5.9,0.461
1976,1513,24,3,NBA,ATL,PF,75,7.9,1.7,0.2,5.4,0.442
1980,1513,28,7,NBA,UTA,SF,4,1.0,1.0,0.0,2.3,0.0
1980,1513,28,7,NBA,TOT,SF,32,3.5,0.6,0.1,2.2,0.352
1980,1513,28,7,NBA,ATL,SF,28,3.9,0.5,0.1,2.2,0.378
1978,1513,26,5,NBA,ATL,SF,75,7.3,1.4,0.1,4.0,0.474
1976,1514,24,3,ABA,NYA,SG,76,16.2,2.5,0.4,2.5,0.454
1977,1514,25,4,NBA,IND,SG,30,20.7,3.7,0.2,2.5,0.48
1977,1514,25,4,NBA,TOT,SG,72,20.8,2.8,0.2,2.7,0.459
1975,1514,23,2,ABA,NYA,SG,75,11.5,2.6,0.3,2.0,0.484
1974,1514,22,1,ABA,NYA,SG,77,14.5,3.2,0.4,2.8,0.492
1977,1514,25,4,NBA,NYN,SG,42,20.8,2.1,0.1,2.8,0.445
1978,1514,26,5,NBA,NJN,SG,33,29.5,2.5,0.3,3.2,0.454
1979,1514,27,6,NBA,NJN,SG,74,22.2,3.4,0.2,2.6,0.465
1980,1514,28,7,NBA,NJN,SG,28,17.7,3.1,0.3,1.9,0.456
1980,1514,28,7,NBA,WSB,SG,30,11.6,1.3,0.3,1.5,0.434
1978,1514,26,5,NBA,TOT,SG,75,23.7,2.9,0.1,3.0,0.438
1981,1514,29,8,NBA,WSB,SG,9,4.7,1.9,0.1,0.8,0.33
1980,1514,28,7,NBA,TOT,SG,58,14.6,2.2,0.3,1.7,0.446
1978,1514,26,5,NBA,IND,SG,42,19.1,3.1,0.0,2.9,0.421
1975,1515,23,2,NBA,BUF,SG,79,7.6,2.2,0.3,2.1,0.466
1976,1515,24,3,NBA,BUF,SG,81,10.1,2.5,0.6,2.7,0.456
1974,1515,22,1,NBA,BUF,SG,59,3.9,0.9,0.2,1.1,0.476
1978,1515,26,5,NBA,ATL,SG,21,9.0,3.9,0.2,1.1,0.397
1977,1515,25,4,NBA,ATL,SG,82,11.1,3.6,0.5,2.0,0.414
1982,1516,30,9,NBA,POR,PF,20,5.0,1.5,0.8,5.9,0.487
1978,1516,26,5,NBA,LAL,PF,25,11.5,1.2,1.0,11.2,0.451
1977,1516,25,4,NBA,LAL,PF,53,9.7,0.9,1.0,9.3,0.503
1979,1516,27,6,NBA,SDC,PF,82,11.3,1.5,1.5,9.8,0.562
1974,1516,22,1,NBA,LAL,PF,45,3.8,0.4,0.4,3.3,0.483
1988,1516,36,10,NBA,GSW,PF,6,2.7,0.0,0.7,3.2,0.5
1980,1516,28,7,NBA,POR,PF,80,13.4,2.1,1.6,10.5,0.553
1978,1516,26,5,NBA,TOT,PF,57,11.6,1.3,1.1,10.8,0.487
1978,1516,26,5,NBA,BOS,PF,32,11.8,1.3,1.3,10.5,0.521
1976,1516,24,3,NBA,LAL,PF,36,3.4,0.6,0.7,4.6,0.433
1981,1516,29,8,NBA,POR,PF,73,11.4,2.0,1.2,9.4,0.569
1975,1516,23,2,NBA,LAL,PF,55,4.5,1.2,0.6,6.4,0.42
1975,1517,23,2,ABA,INA,SG,81,14.9,4.0,0.3,2.0,0.429
1976,1517,24,3,ABA,SDS,PG,9,10.6,5.2,0.0,0.8,0.338
1976,1517,24,3,ABA,TOT,SG-PG,43,6.6,3.0,0.1,1.1,0.37
1974,1517,22,1,ABA,INA,SG,56,7.3,2.3,0.1,1.6,0.402
1976,1517,24,3,ABA,KEN,SG,34,5.6,2.4,0.1,1.2,0.387
1974,1518,22,1,NBA,BUF,C,39,2.8,0.6,0.6,2.7,0.485
1982,1518,30,9,NBA,POR,C,21,2.3,0.9,0.3,3.1,0.417
1980,1518,28,7,NBA,POR,C,18,7.0,1.6,1.2,6.2,0.439
1974,1518,22,1,NBA,HOU,C,25,4.9,0.7,1.2,4.4,0.491
1981,1518,29,8,NBA,POR,C,55,4.4,1.2,0.6,5.2,0.468
1977,1518,25,4,NBA,HOU,C,81,9.4,1.9,1.3,8.3,0.486
1978,1518,26,5,NBA,HOU,C,80,10.4,1.2,1.1,8.7,0.437
1975,1518,23,2,NBA,HOU,C,75,10.8,1.4,1.1,8.4,0.512
1979,1518,27,6,NBA,SDC,C,81,6.5,1.4,1.5,7.0,0.467
1974,1518,22,1,NBA,TOT,C,64,3.6,0.7,0.8,3.4,0.488
1976,1518,24,3,NBA,HOU,C,80,12.9,1.9,1.3,9.8,0.487
1974,1519,22,1,ABA,MMT,SG,65,6.8,1.7,0.0,1.1,0.42
1975,1519,23,2,ABA,MMS,SG,63,10.5,3.0,0.1,2.3,0.462
1981,1520,28,8,NBA,CHI,SF,77,14.1,1.6,0.2,5.2,0.48
1977,1520,24,4,NBA,SAS,PF,78,21.9,2.9,0.8,11.3,0.492
1983,1520,30,10,NBA,CLE,PF,32,7.3,1.1,0.3,3.7,0.472
1983,1520,30,10,NBA,GSW,PF,11,3.7,0.5,0.0,2.4,0.436
1983,1520,30,10,NBA,TOT,PF,48,5.8,0.8,0.2,3.1,0.463
1983,1520,30,10,NBA,CHI,PF,5,0.8,0.0,0.0,0.8,0.333
1976,1520,23,3,ABA,SAA,PF,81,18.7,1.9,0.5,11.1,0.481
